frame,cx,cy,x,y,w,h,yolo_conf,group_id
96,293.0,197.5,280.0,184.0,26.0,27.0,0.717,3.0
97,291.5,198.0,281.0,187.0,21.0,22.0,0.632,3.0
98,291.0,198.5,281.0,188.0,20.0,21.0,,3.0
99,292.5,203.0,282.0,194.0,21.0,18.0,0.767,3.0
100,290.0,210.5,280.0,200.0,20.0,21.0,0.77,3.0
101,286.0,222.5,276.0,212.0,20.0,21.0,0.736,3.0
102,279.0,239.5,270.0,229.0,18.0,21.0,0.638,3.0
103,268.5,255.0,259.0,244.0,19.0,22.0,0.668,3.0
104,259.0,272.5,248.0,261.0,22.0,23.0,0.742,3.0
105,253.5,271.0,243.0,259.0,21.0,24.0,0.554,3.0
106,246.5,257.5,235.0,246.0,23.0,23.0,0.711,3.0
107,239.0,244.5,229.0,234.0,20.0,21.0,0.524,3.0
108,235.0,234.5,225.0,224.0,20.0,21.0,,3.0
109,230.0,224.0,222.0,213.0,16.0,22.0,,3.0
110,228.0,220.0,220.0,209.0,16.0,22.0,0.697,3.0
111,227.5,221.0,220.0,212.0,15.0,18.0,0.695,3.0
112,226.5,224.0,219.0,214.0,15.0,20.0,0.633,3.0
113,230.5,234.0,223.0,224.0,15.0,20.0,,3.0
114,229.0,251.0,219.0,241.0,20.0,20.0,,3.0
115,237.0,262.0,227.0,252.0,20.0,20.0,0.575,3.0
116,245.0,276.0,235.0,266.0,20.0,20.0,,3.0
117,254.0,274.0,245.0,265.0,18.0,18.0,,3.0
118,265.0,258.5,254.0,248.0,22.0,21.0,,3.0
119,270.0,246.5,259.0,236.0,22.0,21.0,,3.0
120,276.0,235.5,265.0,225.0,22.0,21.0,0.54,3.0
121,281.0,225.5,270.0,215.0,22.0,21.0,,3.0
122,284.5,218.0,273.0,207.0,23.0,22.0,,3.0
123,287.0,207.5,276.0,197.0,22.0,21.0,,3.0
124,289.0,199.5,278.0,189.0,22.0,21.0,,3.0
125,289.5,196.0,278.0,185.0,23.0,22.0,,3.0
126,287.5,193.0,276.0,182.0,23.0,22.0,,3.0
127,285.5,194.0,274.0,183.0,23.0,22.0,,3.0
128,282.0,196.5,270.0,185.0,24.0,23.0,,3.0
129,283.0,196.5,271.0,185.0,24.0,23.0,,3.0
130,281.0,197.5,269.0,186.0,24.0,23.0,,3.0
131,269.5,202.0,258.0,191.0,23.0,22.0,,3.0
132,267.0,201.5,256.0,191.0,22.0,21.0,,3.0
133,262.0,208.5,251.0,198.0,22.0,21.0,,3.0
134,264.5,207.0,253.0,196.0,23.0,22.0,,3.0
135,269.5,155.5,260.0,145.0,19.0,21.0,,4.0
136,274.5,154.5,265.0,144.0,19.0,21.0,,4.0
137,279.5,154.5,270.0,144.0,19.0,21.0,,4.0
138,284.5,153.5,275.0,143.0,19.0,21.0,,4.0
139,289.5,153.5,280.0,143.0,19.0,21.0,,4.0
140,293.5,154.5,284.0,144.0,19.0,21.0,,4.0
141,296.5,154.5,287.0,144.0,19.0,21.0,,4.0
142,299.5,155.5,290.0,145.0,19.0,21.0,,4.0
143,302.5,154.5,293.0,144.0,19.0,21.0,,4.0
144,305.5,156.5,296.0,146.0,19.0,21.0,,4.0
145,307.5,156.5,298.0,146.0,19.0,21.0,,4.0
146,293.5,160.5,284.0,150.0,19.0,21.0,,4.0
147,296.5,159.5,287.0,149.0,19.0,21.0,,4.0
148,297.5,155.5,288.0,145.0,19.0,21.0,0.543,4.0
149,299.0,151.5,288.0,141.0,22.0,21.0,0.772,4.0
150,300.5,146.5,290.0,136.0,21.0,21.0,0.82,4.0
151,302.0,140.5,291.0,130.0,22.0,21.0,0.808,4.0
152,302.0,133.0,292.0,122.0,20.0,22.0,0.789,4.0
153,301.0,125.5,291.0,113.0,20.0,25.0,0.82,4.0
154,300.0,116.0,290.0,104.0,20.0,24.0,0.848,4.0
155,299.0,107.0,289.0,94.0,20.0,26.0,0.861,4.0
156,296.5,95.0,286.0,83.0,21.0,24.0,0.848,4.0
157,293.5,86.0,283.0,74.0,21.0,24.0,0.806,4.0
158,291.0,78.0,281.0,66.0,20.0,24.0,0.854,4.0
159,288.0,70.5,278.0,60.0,20.0,21.0,0.821,4.0
160,285.0,64.5,275.0,54.0,20.0,21.0,0.808,4.0
161,283.0,60.0,273.0,48.0,20.0,24.0,0.828,4.0
162,281.0,55.5,272.0,45.0,18.0,21.0,0.811,4.0
163,279.0,51.5,270.0,41.0,18.0,21.0,0.807,4.0
164,277.0,48.5,268.0,38.0,18.0,21.0,,4.0
