frame,cx,cy,x,y,w,h,yolo_conf,group_id
106,176.0,249.5,165.0,238.0,22.0,23.0,0.747,1.0
107,170.0,236.5,159.0,226.0,22.0,21.0,0.681,1.0
108,163.0,223.0,153.0,212.0,20.0,22.0,0.61,1.0
109,160.5,219.5,152.0,211.0,17.0,17.0,0.645,1.0
110,156.5,211.5,147.0,199.0,19.0,25.0,0.71,1.0
111,157.5,215.0,151.0,207.0,13.0,16.0,0.702,1.0
112,153.0,215.5,142.0,203.0,22.0,25.0,0.515,1.0
113,156.0,224.5,145.0,212.0,22.0,25.0,,1.0
114,160.0,242.0,150.0,233.0,20.0,18.0,,1.0
115,167.0,254.0,157.0,245.0,20.0,18.0,0.594,1.0
116,173.0,268.0,163.0,259.0,20.0,18.0,,1.0
117,183.0,262.5,174.0,253.0,18.0,19.0,,1.0
118,190.0,250.5,181.0,241.0,18.0,19.0,0.507,1.0
119,198.0,239.0,190.0,229.0,16.0,20.0,0.705,1.0
120,205.0,227.5,195.0,218.0,20.0,19.0,0.667,1.0
121,206.5,220.0,197.0,211.0,19.0,18.0,,1.0
122,214.0,212.5,204.0,203.0,20.0,19.0,,1.0
123,217.0,200.5,207.0,191.0,20.0,19.0,,1.0
124,219.0,192.5,209.0,183.0,20.0,19.0,,1.0
125,218.0,188.5,208.0,179.0,20.0,19.0,,1.0
126,217.0,185.5,207.0,176.0,20.0,19.0,,1.0
127,220.0,177.5,210.0,168.0,20.0,19.0,,1.0
128,217.0,180.5,207.0,171.0,20.0,19.0,,1.0
129,211.0,187.5,201.0,178.0,20.0,19.0,,1.0
130,212.0,192.5,202.0,183.0,20.0,19.0,,1.0
131,176.0,175.0,166.0,165.0,20.0,20.0,,2.0
132,179.5,174.5,169.0,164.0,21.0,21.0,,2.0
133,181.5,176.5,171.0,166.0,21.0,21.0,,2.0
134,185.5,174.5,175.0,164.0,21.0,21.0,,2.0
135,189.5,174.5,179.0,164.0,21.0,21.0,,2.0
136,193.5,173.5,183.0,163.0,21.0,21.0,,2.0
137,200.5,171.5,190.0,161.0,21.0,21.0,,2.0
138,201.5,173.5,191.0,163.0,21.0,21.0,,2.0
139,205.5,175.5,195.0,165.0,21.0,21.0,,2.0
140,208.5,174.5,198.0,164.0,21.0,21.0,,2.0
141,211.5,176.5,201.0,166.0,21.0,21.0,,2.0
142,219.5,173.5,209.0,163.0,21.0,21.0,,2.0
143,222.5,172.5,212.0,162.0,21.0,21.0,,2.0
144,224.5,172.5,214.0,162.0,21.0,21.0,,2.0
145,225.5,162.5,215.0,152.0,21.0,21.0,,2.0
146,226.5,158.5,216.0,148.0,21.0,21.0,,2.0
147,226.5,151.5,216.0,141.0,21.0,21.0,,2.0
148,227.5,146.5,217.0,136.0,21.0,21.0,,2.0
149,228.5,143.5,218.0,133.0,21.0,21.0,0.648,2.0
150,230.0,137.5,219.0,128.0,22.0,19.0,0.85,2.0
151,231.5,132.5,220.0,122.0,23.0,21.0,0.852,2.0
152,230.5,126.5,221.0,115.0,19.0,23.0,0.834,2.0
